model,augmentation,phase,epoch,loss,accuracy,date,transformations
OCDC__Size-640x640_Epoch-37_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,37,0.3190364435599703,0.8581478542751736,2021-10-30 05:52:56.025729,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-38_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,38,0.31361330102829793,0.8618641241164436,2021-10-30 06:11:40.121106,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-38_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,38,0.31341932913702397,0.8678518608940972,2021-10-30 06:11:40.121174,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-39_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,39,0.2931933512744893,0.8748157929920013,2021-10-30 06:30:24.233293,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-39_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,39,0.34722470035517794,0.8561925320095486,2021-10-30 06:30:24.233337,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-40_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,40,0.2985995105351321,0.8701622895740333,2021-10-30 06:49:08.288831,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-40_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,40,0.29707054014886836,0.8767735324435765,2021-10-30 06:49:08.288912,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,41,0.28888231216308974,0.875941077822732,2021-10-30 07:07:52.112355,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,41,0.30222579846676023,0.8639790445963541,2021-10-30 07:07:52.112382,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,42,0.28405496125619506,0.8781751999627974,2021-10-30 07:26:37.357026,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,42,0.3173417905423169,0.8622526991102429,2021-10-30 07:26:37.357065,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,43,0.28453281892358234,0.8774195527576263,2021-10-30 07:45:22.304530,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,43,0.30210439062729066,0.8628394368489581,2021-10-30 07:45:22.304554,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-44_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,44,0.2846124055368515,0.8800615612211684,2021-10-30 08:04:06.092338,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-44_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,44,0.6602511231270102,0.8517410346137151,2021-10-30 08:04:06.092377,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-45_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,45,0.3114725603505836,0.8740389840262281,2021-10-30 08:22:50.754326,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-45_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,45,0.41198224369953906,0.8518783908420138,2021-10-30 08:22:50.754368,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-46_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,46,0.2850672723564674,0.8794186226981038,2021-10-30 08:41:35.278273,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-46_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,46,0.40583290666238303,0.851852349175347,2021-10-30 08:41:35.278313,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-47_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,47,0.2614983073374744,0.8908960803803947,2021-10-30 09:00:19.253016,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-47_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,47,0.3146803608552242,0.8563227945963542,2021-10-30 09:00:19.253058,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-48_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,48,0.26895908247624034,0.8854537876674113,2021-10-30 09:19:03.418137,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-48_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,48,0.2877765149085058,0.8606036105685764,2021-10-30 09:19:03.418198,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-49_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,49,0.24656671257246107,0.8989193405877979,2021-10-30 09:37:46.892070,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-49_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,49,0.25936362588674655,0.8827523600260417,2021-10-30 09:37:46.892096,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-50_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,50,0.23786097453197552,0.9043945399693084,2021-10-30 09:56:31.152516,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-50_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,50,0.3002084989980277,0.8631676161024306,2021-10-30 09:56:31.152541,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-51_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,51,0.24258430104819126,0.8993857218424476,2021-10-30 10:15:15.555844,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-51_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,51,0.34455269809501865,0.8575918646918402,2021-10-30 10:15:15.555884,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-52_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,52,0.24821691681808306,0.8986828380766368,2021-10-30 10:34:00.035873,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-52_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,52,0.42376721575080106,0.8519337565104165,2021-10-30 10:34:00.035926,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-53_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,53,0.23597234934152636,0.9050363943917414,2021-10-30 10:52:44.023731,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-53_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,53,0.2908574061701074,0.8847434217664933,2021-10-30 10:52:44.023798,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-54_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,54,0.24949883005465381,0.8962289370582222,2021-10-30 11:11:28.413016,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-54_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,54,0.2434737808484998,0.8959239773220488,2021-10-30 11:11:28.413055,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-55_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,55,0.22428768907543384,0.9132063860212047,2021-10-30 11:30:12.675902,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-55_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,55,0.2739740188906176,0.8811919352213541,2021-10-30 11:30:12.675954,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-56_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,56,0.22403015912582522,0.9111255958193812,2021-10-30 11:48:57.304595,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-56_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,56,0.5498915338681803,0.8532244601779513,2021-10-30 11:48:57.304663,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-57_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,57,0.2571137313689438,0.8943903314499627,2021-10-30 12:07:41.361634,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-57_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,57,0.2913628297068903,0.8795957302517362,2021-10-30 12:07:41.361660,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-58_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,58,0.22950325438869185,0.9083300054640995,2021-10-30 12:26:25.706423,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-58_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,58,0.310730903975976,0.8674663085937501,2021-10-30 12:26:25.706448,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
