model,augmentation,phase,epoch,loss,accuracy,date,transformations
OCDC__Size-640x640_Epoch-44_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,44,0.34085863014010503,0.8519615614149305,2021-11-28 05:23:43.095095,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-45_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,45,0.3396945651143878,0.8496573021298356,2021-11-28 05:42:23.860024,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-45_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,45,0.34328707345347437,0.8520823025173608,2021-11-28 05:42:23.860052,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-46_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,46,0.3388052732983072,0.8480309157598583,2021-11-28 06:01:04.808981,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-46_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,46,0.34372173484104374,0.8522535671657986,2021-11-28 06:01:04.809010,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-47_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,47,0.33502750803239734,0.8484030529203869,2021-11-28 06:19:45.747722,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-47_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,47,0.32329884730020747,0.8557426893446183,2021-11-28 06:19:45.747751,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-48_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,48,0.3212783647113524,0.8587024303617931,2021-11-28 06:38:26.618153,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-48_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,48,0.33170649079062664,0.8520649278428821,2021-11-28 06:38:26.618198,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-49_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,49,0.31575084832951517,0.8615177321661095,2021-11-28 06:57:06.988495,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-49_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,49,0.3148650178090773,0.8522650824652774,2021-11-28 06:57:06.988542,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-50_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,50,0.31776724104503434,0.8612944161551337,2021-11-28 07:15:53.116346,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-50_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,50,0.3268255637958646,0.8548470187717012,2021-11-28 07:15:53.116394,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
