model,augmentation,phase,epoch,loss,accuracy,date
OCDC__Size-640x640_Epoch-38_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,38,0.30793367270158517,0.8676196347191226,2021-08-01 22:33:44.071383
OCDC__Size-640x640_Epoch-38_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,38,0.34461075035958655,0.8526571858723958,2021-08-01 22:33:44.071437
OCDC__Size-640x640_Epoch-39_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,39,0.30984487354788665,0.8625207577659975,2021-08-01 22:50:42.820082
OCDC__Size-640x640_Epoch-39_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,39,0.340747844065643,0.8538599039713538,2021-08-01 22:50:42.820123
OCDC__Size-640x640_Epoch-40_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,40,0.33022383615718265,0.8524543079194572,2021-08-01 23:07:41.470647
OCDC__Size-640x640_Epoch-40_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,40,0.3245242464511345,0.8544455023871524,2021-08-01 23:07:41.470686
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,41,0.31401463968712573,0.858536664690291,2021-08-01 23:24:38.986420
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,41,0.3256198404434448,0.8546632893880207,2021-08-01 23:24:38.986447
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,42,0.30247087997683725,0.8655034790039059,2021-08-01 23:41:36.532353
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,42,0.31625058849393906,0.8569700656467012,2021-08-01 23:41:36.532379
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,43,0.2926229483307993,0.8736350562686022,2021-08-01 23:58:34.018026
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,43,0.3091651175171137,0.8567507731119791,2021-08-01 23:58:34.018056
OCDC__Size-640x640_Epoch-44_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,44,0.28851350914434687,0.8737589518229166,2021-08-02 00:15:31.763271
OCDC__Size-640x640_Epoch-44_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,44,0.3117661112634879,0.8584859619140623,2021-08-02 00:15:31.763325
OCDC__Size-640x640_Epoch-45_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,45,0.2739382417391642,0.883095822288877,2021-08-02 00:32:29.273699
OCDC__Size-640x640_Epoch-45_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,45,0.307969625454603,0.8593518066406248,2021-08-02 00:32:29.273730
OCDC__Size-640x640_Epoch-46_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,46,0.28315822609611563,0.8784392583937881,2021-08-02 00:49:27.001403
OCDC__Size-640x640_Epoch-46_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,46,0.37665160948009646,0.8567704399956595,2021-08-02 00:49:27.001457
OCDC__Size-640x640_Epoch-47_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,47,0.26472226621893546,0.8906560698009677,2021-08-02 01:06:24.578829
OCDC__Size-640x640_Epoch-47_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,47,0.29365375831904306,0.8627747531467015,2021-08-02 01:06:24.578871
OCDC__Size-640x640_Epoch-48_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,48,0.26136718198706926,0.8911759876069573,2021-08-02 01:23:21.953195
OCDC__Size-640x640_Epoch-48_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,48,0.3092405975253011,0.8598007269965277,2021-08-02 01:23:21.953240
