model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-640x640_Epoch-36_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,36,0.5603775809743756,0.771819066420251,2021-05-04 10:10:30.163032
ORCA__Size-640x640_Epoch-37_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,37,0.2706898361807645,0.887833919251366,2021-05-04 11:20:54.169858
ORCA__Size-640x640_Epoch-37_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,37,0.511229031342065,0.7910486846158147,2021-05-04 11:20:54.169900
ORCA__Size-640x640_Epoch-38_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,38,0.27726322245944524,0.8851640312523347,2021-05-04 12:37:02.220834
ORCA__Size-640x640_Epoch-38_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,38,0.46724194095424393,0.8034077714307044,2021-05-04 12:37:02.220890
ORCA__Size-640x640_Epoch-39_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,39,0.27377825384596405,0.8854710358980188,2021-05-04 13:47:06.519458
ORCA__Size-640x640_Epoch-39_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,39,0.45863934669514567,0.8087106283135455,2021-05-04 13:47:06.519507
ORCA__Size-640x640_Epoch-40_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,40,0.28245707849359797,0.8807691108667101,2021-05-04 14:57:07.017493
ORCA__Size-640x640_Epoch-40_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,40,0.5123832313635408,0.7857149557571683,2021-05-04 14:57:07.017524
ORCA__Size-640x640_Epoch-41_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,41,0.2601775503493166,0.8926442729457142,2021-05-04 16:06:42.438742
ORCA__Size-640x640_Epoch-41_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,41,0.5157664885428448,0.7913508647886794,2021-05-04 16:06:42.438805
ORCA__Size-640x640_Epoch-42_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,42,0.2600698092610923,0.8922034837640661,2021-05-04 17:16:26.081080
ORCA__Size-640x640_Epoch-42_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,42,0.4848544984603058,0.803356735247723,2021-05-04 17:16:26.081111
ORCA__Size-640x640_Epoch-43_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,43,0.2613597272538232,0.8919290029717385,2021-05-04 18:26:09.189709
ORCA__Size-640x640_Epoch-43_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,43,0.4502347431979014,0.8155400670642926,2021-05-04 18:26:09.189739
ORCA__Size-640x640_Epoch-44_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,44,0.2551281070980047,0.895602742610365,2021-05-04 19:36:11.475249
ORCA__Size-640x640_Epoch-44_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,44,0.43448761689255244,0.8199240772242761,2021-05-04 19:36:11.475276
ORCA__Size-640x640_Epoch-45_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,45,0.2566477795444545,0.8944554817163217,2021-05-04 20:46:35.663108
ORCA__Size-640x640_Epoch-45_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,45,0.4839072939444649,0.8034795726926526,2021-05-04 20:46:35.663144
ORCA__Size-640x640_Epoch-46_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,46,0.2596045403308781,0.8928626269472845,2021-05-04 22:02:45.105659
ORCA__Size-640x640_Epoch-46_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,46,0.419038739790884,0.828010630180332,2021-05-04 22:02:45.105717
ORCA__Size-640x640_Epoch-47_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,47,0.26097844880278687,0.8920023714640494,2021-05-04 23:12:46.312083
ORCA__Size-640x640_Epoch-47_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,47,0.4707596845398551,0.8089220039249178,2021-05-04 23:12:46.312125
ORCA__Size-640x640_Epoch-48_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,48,0.2776633811509961,0.8845756851999393,2021-05-05 00:22:50.178007
ORCA__Size-640x640_Epoch-48_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,48,0.41920256004930256,0.8258891356546814,2021-05-05 00:22:50.178063
ORCA__Size-640x640_Epoch-49_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,49,0.24223943225748093,0.9016820442163204,2021-05-05 01:32:23.711357
ORCA__Size-640x640_Epoch-49_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,49,0.45837626418793126,0.812075507415808,2021-05-05 01:32:23.711427
ORCA__Size-640x640_Epoch-50_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,50,0.24451623817745086,0.8996197444057935,2021-05-05 02:41:59.613636
ORCA__Size-640x640_Epoch-50_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,50,0.44494139919170983,0.8167706583221315,2021-05-05 02:41:59.613685
ORCA__Size-640x640_Epoch-51_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,51,0.2470253847189065,0.8983653091357651,2021-05-05 03:51:34.382754
ORCA__Size-640x640_Epoch-51_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,51,0.41176337076255354,0.8309882999178624,2021-05-05 03:51:34.382802
ORCA__Size-640x640_Epoch-52_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,52,0.24941842717636026,0.8968589191345533,2021-05-05 05:01:33.605613
ORCA__Size-640x640_Epoch-52_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,52,0.42473659720305207,0.8233320995043683,2021-05-05 05:01:33.605641
ORCA__Size-640x640_Epoch-53_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,53,0.24472703732289464,0.8998871265758168,2021-05-05 06:11:53.229889
ORCA__Size-640x640_Epoch-53_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,53,0.43942565627545205,0.8187786522504097,2021-05-05 06:11:53.229961
ORCA__Size-640x640_Epoch-54_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,54,0.2464907273844288,0.8988083885959461,2021-05-05 07:28:04.310564
ORCA__Size-640x640_Epoch-54_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,54,0.4444083498842044,0.8188260890363653,2021-05-05 07:28:04.310592
ORCA__Size-640x640_Epoch-55_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,55,0.2622898060983157,0.8909927265952094,2021-05-05 08:38:08.815469
ORCA__Size-640x640_Epoch-55_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,55,0.37087117629893473,0.8464165231574814,2021-05-05 08:38:08.815512
ORCA__Size-640x640_Epoch-56_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,56,0.2709461799400116,0.8858157085801995,2021-05-05 09:48:12.972126
ORCA__Size-640x640_Epoch-56_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,56,0.39763261242841985,0.8316089567232318,2021-05-05 09:48:12.972198
ORCA__Size-640x640_Epoch-57_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,57,0.23289116369153742,0.9048367645409712,2021-05-05 10:57:45.955184
ORCA__Size-640x640_Epoch-57_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,57,0.43530562451040306,0.819510992453517,2021-05-05 10:57:45.955243
ORCA__Size-640x640_Epoch-58_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,58,0.23485456514531527,0.9021855849854702,2021-05-05 12:07:22.794949
ORCA__Size-640x640_Epoch-58_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,58,0.38929300322258575,0.8424339799413839,2021-05-05 12:07:22.794979
ORCA__Size-640x640_Epoch-59_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,59,0.23676332331827338,0.9023427030572482,2021-05-05 13:16:59.094471
ORCA__Size-640x640_Epoch-59_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,59,0.41100014856623723,0.8337192359477673,2021-05-05 13:16:59.094535
ORCA__Size-640x640_Epoch-60_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,60,0.23734273283832047,0.9028218589673225,2021-05-05 14:26:53.989763
ORCA__Size-640x640_Epoch-60_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,60,0.4158726396181553,0.829853868564255,2021-05-05 14:26:53.989833
ORCA__Size-640x640_Epoch-61_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,61,0.23095406700544222,0.9056004888361144,2021-05-05 15:37:14.606055
ORCA__Size-640x640_Epoch-61_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,61,0.4268599112346777,0.8253496636284723,2021-05-05 15:37:14.606099
ORCA__Size-640x640_Epoch-62_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,62,0.24014070030673892,0.9007373981384597,2021-05-05 16:53:21.576492
ORCA__Size-640x640_Epoch-62_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,62,0.4087782126785731,0.8335878317045632,2021-05-05 16:53:21.576521
ORCA__Size-640x640_Epoch-63_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,63,0.24994872047556965,0.895530353162848,2021-05-05 18:03:22.654095
ORCA__Size-640x640_Epoch-63_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,63,0.37681261297224117,0.8466713628005524,2021-05-05 18:03:22.654152
